date,state,cases,deaths
2021-03-11,KS,0,0
2021-06-11,TX,1463,17
2020-08-22,AR,547,11
2020-08-12,AS,0,0
2020-06-05,HI,8,0
2021-07-27,AK,235,0
2021-01-06,TX,24010,345
2021-07-26,OK,1028,8
2020-08-31,PR,25,4
2020-07-20,GA,2766,3
2021-06-20,PW,0,0
2020-05-21,GA,687,69
2021-03-07,MP,2,0
2020-04-16,AK,7,0
2021-08-01,AS,0,0
2020-06-26,NYC,395,17
2021-02-14,FL,3754,115
2021-06-28,UT,254,2
2021-01-14,WV,827,31
2021-03-07,UT,412,1
2020-02-05,KS,0,0
2020-02-28,GA,0,0
2021-09-02,WV,1632,11
2020-04-01,KS,54,1
2020-05-22,OK,97,3
2021-06-21,MA,48,5
2021-06-28,NYC,160,2
2021-03-09,PW,0,0
2021-02-05,AS,0,0
2021-04-05,CO,867,0
2020-11-12,HI,94,0
2021-05-02,OK,149,1
2020-08-12,GA,3767,105
2020-09-14,FL,2643,72
2021-05-09,UT,232,1
2021-08-21,WV,828,2
2020-07-31,MP,2,0
2021-06-29,AR,479,8
2020-04-26,WV,28,1
2021-02-25,AK,150,0
2020-06-23,PR,26,0
2020-05-14,MP,0,0
2021-04-30,AR,196,4
2020-06-14,TX,1843,42
2020-11-10,HI,69,1
2020-05-30,TX,1332,32
2021-04-18,AK,141,0
2020-07-15,MP,3,0
2020-02-21,GA,0,0
2020-11-10,FL,5678,69
2021-05-19,CO,1245,16
2021-07-23,HI,215,0
2021-05-18,KS,259,0
2021-02-04,AK,157,0
2020-05-21,WV,36,2
2020-10-07,MA,535,16
2020-11-05,KS,0,0
2021-07-10,MP,0,0
2020-05-09,GA,307,42
2021-08-28,MA,1432,3
2020-11-28,WV,799,6
2020-06-04,AS,0,0
2020-12-22,UT,2302,12
2021-04-12,MP,0,0
2020-11-26,FL,6590,67
2021-08-29,AS,0,0
2021-05-30,PR,54,1
2020-06-19,OK,535,2
2021-06-12,FL,1350,28
2020-03-20,HI,10,0
2020-08-09,OK,426,9
2020-06-12,MP,0,0
2020-03-03,CO,0,0
2020-07-07,OK,1171,6
2021-08-20,KS,1338,38
2021-01-12,AK,158,0
2020-07-30,TX,8800,266
2021-07-10,UT,412,2
2021-01-03,WV,1731,3
2020-10-09,AS,0,0
2021-06-17,AS,0,0
2020-10-09,NYC,626,4
2020-08-06,TX,7598,230
2020-10-24,MP,0,0
2020-04-09,GA,613,42
2020-11-15,PR,523,15
2021-08-26,OK,3338,21
2020-03-30,PR,12,3
2020-02-22,KS,0,0
2020-04-14,GA,844,45
2021-03-08,FL,4407,60
2020-03-18,TX,19,2
2020-11-16,MA,2164,30
2021-08-04,CO,783,6
2020-05-03,MA,1824,140
2020-04-09,AR,56,3
2020-07-11,UT,642,2
2020-11-14,CO,5196,21
2020-04-08,PR,33,3
2021-03-01,OK,270,12
2020-06-18,AK,12,0
2020-05-15,AK,1,0
2020-02-13,TX,0,0
2021-04-25,KS,164,0
2021-03-01,MA,1395,53
2020-11-27,AR,1052,0
2020-01-23,KS,0,0
2020-07-31,AR,752,11
2020-07-13,PW,0,0
2021-02-14,WV,306,9
2020-03-23,TX,24,2
2021-06-12,UT,357,4
2020-07-20,OK,368,6
2020-02-16,TX,0,0
2020-05-18,TX,909,22
2021-02-04,MA,2804,64
2021-09-07,PR,362,22
2021-04-07,TX,4544,45
2020-12-06,AS,0,0
2020-10-17,GA,1987,51
2020-10-19,WV,212,0
2020-03-15,AR,4,0
2020-08-21,MP,0,0
2021-04-02,KS,501,19
2020-11-16,PW,0,0
2020-07-10,AS,0,0
2020-02-10,AK,0,0
2020-02-25,MP,0,0
2020-05-01,UT,75,0
2021-05-05,KS,235,14
2020-03-10,PW,0,0
2020-11-01,WV,423,0
2020-06-02,AK,20,0
2021-08-30,AK,371,0
2020-05-25,NYC,459,63
2020-07-28,NYC,157,8
2020-07-08,PW,0,0
2020-04-22,MA,1745,154
2021-02-16,MP,0,0
2020-04-29,KS,247,1
2020-12-19,GA,5763,49
2021-02-09,AK,106,1
2020-04-18,NYC,3667,549
2020-12-14,WV,1177,10
2020-07-29,AS,0,0
2020-03-21,CO,112,1
2021-04-17,UT,413,0
2021-05-05,MA,1019,6
2020-04-30,MA,1940,145
2020-08-18,AK,66,0
2021-03-29,GA,1165,36
2020-10-27,NYC,513,9
2020-04-06,GA,739,100
2021-06-01,AK,26,0
2021-07-01,NYC,193,4
2021-02-09,PW,0,0
2020-10-19,AK,202,0
2021-04-07,AK,217,0
2021-07-28,CO,580,2
2021-05-09,MP,0,0
2020-05-25,MA,596,67
2020-10-17,PR,524,6
2020-11-21,UT,3395,14
2020-06-03,MA,425,41
2020-05-29,MP,0,0
2021-07-24,OK,1026,6
2020-08-16,MA,303,13
2020-11-21,AK,671,3
2020-11-24,MA,2576,28
2020-11-11,FL,5468,62
2021-01-04,WV,828,20
2021-02-08,GA,2704,38
2021-02-10,UT,1299,17
2021-06-03,AK,50,0
2020-04-17,WV,36,3
2021-02-07,OK,899,31
2020-07-14,PR,454,4
2020-02-14,PW,0,0
2021-07-31,AS,0,0
2021-01-14,FL,16492,212
2021-03-18,PR,316,2
2021-05-18,MP,0,0
2020-01-28,MA,0,0
2020-11-01,AK,359,0
2020-05-05,AR,27,3
2020-06-20,AK,21,0
2020-03-17,AR,7,0
2021-08-08,HI,632,0
2021-04-03,WV,453,5
2020-05-18,GA,662,36
2020-05-22,AS,0,0
2020-07-01,UT,640,2
2020-10-06,CO,654,12
2021-07-07,HI,34,0
2020-12-20,GA,5618,2
2020-03-18,AS,0,0
2021-02-07,GA,3589,2
2020-11-02,MP,0,0
2020-05-15,PW,0,0
2020-10-30,TX,6631,124
2020-07-24,AK,57,0
2020-11-23,CO,3689,4
2021-08-01,PR,351,3
2021-04-21,OK,220,5
2021-03-15,FL,4623,75
2020-10-28,MA,1181,20
2020-10-21,CO,1267,12
2020-12-28,WV,726,9
2021-09-04,GA,6475,55
2021-08-29,HI,1658,2
2021-09-03,HI,862,7
2020-04-26,UT,266,0
2020-09-01,CO,351,1
2020-07-03,AK,45,0
2021-08-06,WV,429,4
2021-07-14,AR,1309,7
2020-09-19,CO,606,4
2020-09-08,AR,477,9
2020-03-01,OK,3,0
2020-06-25,PR,31,0
2020-07-10,AK,50,1
2020-02-13,KS,0,0
2021-05-17,FL,2759,52
2021-07-13,MP,0,0
2020-05-06,PW,0,0
2020-08-20,HI,230,2
2021-07-31,TX,12732,44
2020-03-09,FL,5,0
2020-08-02,PW,0,0
2020-10-20,TX,5030,78
2020-08-12,PW,0,0
2020-03-18,MA,38,2
2021-09-02,HI,1060,4
2020-04-22,WV,49,3
2020-01-30,MP,0,0
2021-05-17,AR,67,2
2020-01-23,MP,0,0
2021-08-01,OK,1404,9
2020-08-17,OK,324,14
2020-03-25,AR,76,0
2021-05-13,KS,183,0
2020-07-30,MA,304,10
2021-01-01,HI,232,1
2021-06-25,WV,60,0
2021-04-07,KS,540,5
2021-04-09,AR,178,-1
2020-11-22,AR,1352,20
2020-11-12,FL,6732,56
2020-11-27,PW,0,0
2021-03-10,CO,1240,6
2020-10-15,UT,1498,2
2020-04-25,CO,684,-2
2020-04-12,MP,0,0
2020-05-26,MP,0,0
2021-08-13,GA,7216,49
2020-04-01,AK,13,0
2020-12-31,MA,7260,84
2020-09-03,PW,0,0
2020-11-05,CO,3369,20
2021-01-16,OK,2596,60
2021-06-02,GA,491,29
2020-11-30,PR,113,14
2020-05-22,AR,154,3
2020-07-09,UT,574,8
2020-03-03,MA,1,0
2021-04-03,FL,4792,49
2020-12-01,AK,539,3
2021-07-08,MP,0,0
2020-01-23,AS,0,0
2020-10-01,CO,682,3
2021-06-11,CO,930,11
2020-03-28,GA,225,14
2021-03-19,GA,1600,44
2021-02-12,TX,12502,194
2020-07-15,PW,0,0
2020-06-08,PW,0,0
2020-08-07,AK,55,2
2020-10-05,KS,1597,8
2020-06-12,HI,17,0
2021-07-13,MA,284,0
2020-09-04,HI,219,2
2020-03-11,GA,16,0
2020-12-24,FL,10607,111
2020-09-30,AS,0,0
2020-11-08,FL,3815,45
2020-08-07,WV,156,3
2021-02-19,GA,3679,207
2020-04-04,OK,90,10
2020-01-23,AK,0,0
2021-06-21,TX,86,19
2020-03-16,TX,0,1
2020-05-24,PW,0,0
2020-04-21,WV,12,2
2021-07-28,PW,0,0
2021-08-05,CO,813,7
2020-03-29,MA,698,26
2021-08-04,UT,1050,8
2020-10-10,AK,231,1
2020-07-08,HI,34,0
2020-11-09,TX,4849,147
2021-05-06,AS,0,0
2020-05-08,PR,16,2
2021-08-04,OK,2342,8
2020-11-09,PR,176,12
2021-08-17,KS,1502,0
2020-07-31,GA,4308,81
2020-06-25,KS,0,0
2020-02-14,TX,0,0
2020-07-10,CO,666,18
2021-09-05,PR,72,4
2020-02-01,MP,0,0
2020-04-23,KS,271,2
2020-07-03,AR,547,2
2021-06-30,OK,329,3
2020-06-11,KS,0,0
2020-06-30,MP,0,0
2021-05-30,TX,384,26
2021-02-08,MA,1369,43
2020-02-08,KS,0,0
2020-10-02,CO,680,3
2020-10-15,AS,0,0
2021-01-11,OK,1998,56
2020-12-10,UT,3401,21
2020-08-02,CO,449,0
2021-07-02,OK,367,5
2020-10-13,HI,61,4
2021-02-28,PW,0,0
2021-09-01,AK,761,4
2021-03-10,AR,317,25
2020-10-19,AR,531,10
2020-09-05,FL,2460,99
2021-04-26,UT,246,1
2020-03-30,CO,320,4
2021-07-30,PW,0,0
2020-09-16,AK,50,0
2021-05-01,MA,1306,7
2020-08-27,TX,5600,122
2020-05-13,MP,0,0
2020-10-28,OK,1182,20
2021-02-14,GA,1929,21
2020-03-20,NYC,2976,24
2020-12-04,FL,10162,96
2020-08-30,AR,478,12
2020-04-08,AS,0,0
2020-10-25,WV,194,1
2020-09-21,PW,0,0
2021-04-15,CO,1500,5
2020-04-03,UT,81,0
2020-03-10,NYC,21,0
2020-02-07,MA,0,0
2020-09-17,OK,1481,16
2020-06-03,AS,0,0
2021-01-28,KS,0,0
2020-02-09,AK,0,0
2020-12-03,MP,0,0
2020-09-19,MA,599,13
2020-03-05,AK,0,0
2021-01-19,KS,0,0
2020-02-02,PR,0,0
2021-02-27,GA,3365,75
2020-08-30,NYC,297,6
2020-08-14,AS,0,0
2020-03-02,AS,0,0
2020-12-12,AR,2628,36
2021-07-02,HI,73,0
2021-08-13,HI,1149,1
2020-04-07,PW,0,0
2020-04-06,NYC,4052,698
2021-02-24,TX,7517,126
2020-10-11,AK,250,2
2020-12-19,MP,0,0
2020-03-06,UT,0,0
2020-09-02,KS,1328,12
2021-04-11,PW,0,0
2021-07-31,CO,733,3
2020-05-17,KS,0,0
2020-11-30,WV,845,6
2021-04-09,MA,2312,18
2021-07-26,PR,67,1
2021-05-24,AR,49,3
2021-06-10,GA,458,45
2020-06-01,PW,0,0
2020-05-28,WV,36,0
2020-11-19,GA,3424,37
2021-01-17,CO,1498,16
2021-06-14,AR,103,2
2020-03-20,AS,0,0
2021-03-08,AS,0,0
2020-05-16,AR,115,0
2020-04-19,KS,38,4
2020-11-24,PR,1339,16
2020-02-09,UT,0,0
2020-08-23,HI,169,0
2021-07-06,KS,213,1
2020-02-08,TX,0,0
2020-12-24,HI,125,0
2020-03-28,MA,1017,15
2020-09-07,GA,798,7
2021-03-26,AR,184,12
2021-03-10,PR,200,2
2020-06-16,MP,0,0
2021-03-17,AR,325,14
2020-09-09,MA,181,12
2020-06-15,HI,3,0
2021-08-06,MA,1206,2
2021-07-10,PR,113,1
2020-08-30,WV,143,1
2021-08-05,PR,578,5
2020-06-23,AS,0,0
2020-07-19,GA,3193,5
2021-08-02,AS,0,0
2020-12-13,HI,77,3
2020-07-25,TX,6020,258
2020-12-29,AK,207,2
2020-02-07,WV,0,0
2021-07-05,MP,0,0
2021-05-15,FL,2416,45
2021-01-15,FL,11889,209
2020-03-14,PW,0,0
2020-07-25,OK,714,11
2020-12-03,AR,2789,33
2020-02-12,MP,0,0
2020-02-01,WV,0,0
2021-04-24,AR,184,1
2021-03-14,WV,319,11
2021-03-12,PW,0,0
2021-04-22,AK,218,0
2020-12-20,CO,2292,29
2020-06-14,AS,0,0
2020-03-06,MP,0,0
2020-03-23,MP,0,0
2020-12-28,TX,14829,232
2021-08-01,CO,733,3
2021-02-28,AR,3220,-174
2020-06-02,GA,578,28
2021-08-08,PW,0,0
2021-03-24,PW,0,0
2020-12-25,MA,0,67
2021-01-10,AS,0,0
2021-06-09,UT,360,2
2020-06-30,NYC,218,12
2021-05-31,UT,143,1
2021-08-27,MP,0,0
2020-02-29,WV,0,0
2021-09-06,PW,0,0
2020-05-13,MA,1165,116
2020-03-20,MP,0,0
2020-06-06,AS,0,0
2021-08-03,AS,0,0
2020-04-18,PW,0,0
2020-05-21,CO,369,10
2021-07-04,AR,414,2
2021-05-30,MA,162,4
2020-05-19,HI,1,0
2021-06-03,FL,2386,45
2020-05-28,PR,9,2
2020-01-28,FL,0,0
2020-11-05,AK,327,0
2020-10-18,HI,82,1
2021-03-01,AR,94,7
2020-11-08,AK,507,5
2020-08-24,FL,2725,116
2020-07-13,UT,545,4
2021-06-19,GA,321,19
2021-06-20,UT,288,2
2021-04-17,NYC,2620,43
2020-06-06,GA,583,-14
2021-08-03,UT,728,5
2020-09-13,FL,1772,73
2020-04-05,AR,110,2
2021-04-25,UT,281,2
2021-05-01,TX,3486,35
2021-03-15,CO,422,2
2020-11-03,AR,520,18
2020-08-05,TX,8706,215
2021-06-10,CO,596,15
2020-04-20,KS,137,8
2020-07-20,TX,7404,252
2021-08-20,NYC,2460,16
2021-02-24,PW,0,0
2020-06-07,UT,178,0
2021-07-31,MA,701,0
2020-02-29,PW,0,0
2020-03-02,MA,0,0
2020-08-01,MP,0,0
2020-10-23,AS,0,0
2020-08-17,HI,134,0
2020-08-15,WV,183,3
2021-03-02,HI,33,0
2021-04-07,OK,251,3
2020-11-09,KS,5920,15
2020-12-20,PW,0,0
2020-09-04,KS,1280,23
2020-05-20,AK,3,0
2021-01-27,FL,11266,176
2020-12-04,OK,3237,68
2021-07-01,OK,303,2
2021-03-13,TX,4906,76
2020-06-03,PW,0,0
2021-02-06,MP,0,0
2020-02-28,AK,0,0
2021-03-14,GA,819,-1
2021-01-17,NYC,5900,69
2021-03-21,CO,802,5
2021-07-07,PR,138,0
2020-10-23,AK,248,2
2020-03-04,MP,0,0
2021-04-01,NYC,4156,46
2020-06-03,AR,249,6
2020-07-29,UT,605,1
2020-06-13,HI,5,0
2020-08-08,TX,6959,179
2020-06-19,PW,0,0
2020-04-29,CO,437,30
2020-05-28,AK,13,0
2020-10-27,GA,2039,17
2020-07-04,CO,254,0
2021-04-06,TX,5771,48
